AREA_LEVEL_NAMES,COUNTRY_KEY,AREA_LEVEL_MODEL_NAMES
Bandarkhola,BGD,BGD-00434
Bandhabari,BGD,BGD-00435
Banduk Bhanga,BGD,BGD-00436
Bandura,BGD,BGD-00437
Baneshwar,BGD,BGD-00438
Baneshwardi,BGD,BGD-00439
Bangakha,BGD,BGD-00440
Bangal Para,BGD,BGD-00441
Bangala,BGD,BGD-00442
Bangalhalia,BGD,BGD-00443
Bangalipur,BGD,BGD-00444
Bangaltali,BGD,BGD-00445
Bangasonahat,BGD,BGD-00446
Bangla Bazar-1,BGD,BGD-00447
Bangla Bazar-2,BGD,BGD-00448
Banglabandha,BGD,BGD-00449
Bangodda,BGD,BGD-00450
Bangra,BGD,BGD-00451
Baniajan-1,BGD,BGD-00452
Baniajan-2,BGD,BGD-00453
Baniajuri,BGD,BGD-00454
Banibaha,BGD,BGD-00455
Banihala,BGD,BGD-00456
Banishanta,BGD,BGD-00457
Banjugi Chhara,BGD,BGD-00458
Banka,BGD,BGD-00459
Bankra,BGD,BGD-00460
Banpara Paurashava,BGD,BGD-00461
Banshbaria-1,BGD,BGD-00462
Banshbaria-2,BGD,BGD-00463
Banshbaria-3,BGD,BGD-00464
Banshbaria-4,BGD,BGD-00465
Banshchara,BGD,BGD-00466
Banshdaha,BGD,BGD-00467
Banshgari-1,BGD,BGD-00468
Banshgari-2,BGD,BGD-00469
Banshgram,BGD,BGD-00470
Banshkandi,BGD,BGD-00471
Banshkhali Paurashava,BGD,BGD-00472
Banshtail,BGD,BGD-00473
Banshtali,BGD,BGD-00474
Banwarinagar,BGD,BGD-00475
Baola,BGD,BGD-00476
Bapta,BGD,BGD-00477
Bara Alampur,BGD,BGD-00478
Bara Baisdia,BGD,BGD-00479
Bara Bakia,BGD,BGD-00480
Bara Baria,BGD,BGD-00481
Bara Bazar,BGD,BGD-00482
Bara Bhita,BGD,BGD-00483
Bara Bighai,BGD,BGD-00484
Bara Bihanali,BGD,BGD-00485
Bara Chapa,BGD,BGD-00486
Bara Chatul,BGD,BGD-00487
Bara Dargah,BGD,BGD-00488
Bara Dhul,BGD,BGD-00489
Bara Gopalpur,BGD,BGD-00490
Bara Harina,BGD,BGD-00491
Bara Harishpur,BGD,BGD-00492
Bara Hazratpur,BGD,BGD-00493
Bara Jalia,BGD,BGD-00494
Bara Karai (uttar Bara Karai),BGD,BGD-00495
Bara Kharpan,BGD,BGD-00496
Bara Kheri,BGD,BGD-00497
Bara Kotha,BGD,BGD-00498
Bara Krishnagar,BGD,BGD-00499
Bara Machhua,BGD,BGD-00500
Bara Maheskhali,BGD,BGD-00501
Bara Malancha,BGD,BGD-00502
Bara Manika,BGD,BGD-00503
Bara Palashbari,BGD,BGD-00504
Bara Pangashi,BGD,BGD-00505
Bara Para,BGD,BGD-00506
Bara Shalghar,BGD,BGD-00507
Bara Shashi,BGD,BGD-00508
Bara Thakuri,BGD,BGD-00509
Bara Uthan,BGD,BGD-00510
Barabagi,BGD,BGD-00511
Barabala,BGD,BGD-00512
Barabari-1,BGD,BGD-00513
Barabari-2,BGD,BGD-00514
Barabaria,BGD,BGD-00515
Barabhita,BGD,BGD-00516
Barabil,BGD,BGD-00517
Barabkunda,BGD,BGD-00518
Baradal,BGD,BGD-00519
Baradi-1,BGD,BGD-00520
Baradi-2,BGD,BGD-00521
Baragachhi,BGD,BGD-00522
Baragaon-1,BGD,BGD-00523
Baragaon-2,BGD,BGD-00524
Baragharia-1,BGD,BGD-00525
Baragharia-2,BGD,BGD-00526
Baraghop,BGD,BGD-00527
Baragram,BGD,BGD-00528
Barahal,BGD,BGD-00529
Barahar,BGD,BGD-00530
Barahatia,BGD,BGD-00531
Barahit,BGD,BGD-00532
Barai Para,BGD,BGD-00533
Baraid,BGD,BGD-00534
Baraigram,BGD,BGD-00535
Baraigram Paurashava,BGD,BGD-00536
Baraikandi,BGD,BGD-00537
Baraikhali-1,BGD,BGD-00538
Baraikhali-2,BGD,BGD-00539
Barail-1,BGD,BGD-00540
Barail-2,BGD,BGD-00541
Baraitali,BGD,BGD-00542
Baraiuri,BGD,BGD-00543
Barakanda,BGD,BGD-00544
Barakandi,BGD,BGD-00545
Barakhada,BGD,BGD-00546
Barakhain,BGD,BGD-00547
Barakhata,BGD,BGD-00548
Barakpur,BGD,BGD-00549
Baralia,BGD,BGD-00550
Barama,BGD,BGD-00551
Baramchal,BGD,BGD-00552
Baranala,BGD,BGD-00553
Barapara,BGD,BGD-00554
Barasat-1,BGD,BGD-00555
Barasat-2,BGD,BGD-00556
Barat,BGD,BGD-00557
Baratali Banihari,BGD,BGD-00558
Baratia,BGD,BGD-00559
Barera,BGD,BGD-00560
Bargachha,BGD,BGD-00561
Barguna,BGD,BGD-00562
Barhatta,BGD,BGD-00563
Baria,BGD,BGD-00564
Bariadyala,BGD,BGD-00565
Baribari,BGD,BGD-00566
Barikandi,BGD,BGD-00567
Barisal,BGD,BGD-00568
Barishaba,BGD,BGD-00569
Barkait (purba Chandina Uni),BGD,BGD-00570
Barkal-1,BGD,BGD-00571
Barkal-2,BGD,BGD-00572
Barkamta,BGD,BGD-00573
Barkashia Biramp,BGD,BGD-00574
Barlekha,BGD,BGD-00575
Barlekha Paurashava,BGD,BGD-00576
Barmachhari,BGD,BGD-00577
Barmi,BGD,BGD-00578
Barni-1,BGD,BGD-00579
Barni-2,BGD,BGD-00580
Baroiar Hat Paurashava,BGD,BGD-00581
Barrah,BGD,BGD-00582
Barshail,BGD,BGD-00583
Barthi,BGD,BGD-00584
Baruakhali,BGD,BGD-00585
Barudia,BGD,BGD-00586
Baruhas,BGD,BGD-00587
Barui Para,BGD,BGD-00588
Baruia,BGD,BGD-00589
Barura Paurashava,BGD,BGD-00590
Basail-1,BGD,BGD-00591
Basail-2,BGD,BGD-00592
Basan,BGD,BGD-00593
Basanda,BGD,BGD-00594
Basantapur,BGD,BGD-00595
Basati,BGD,BGD-00596
Basikpur,BGD,BGD-00597
Basta,BGD,BGD-00598
Basu Para,BGD,BGD-00599
Basuari,BGD,BGD-00600
Basudeb,BGD,BGD-00601
Basudebpur,BGD,BGD-00602
Basundia,BGD,BGD-00603
Basurhat Paurashava,BGD,BGD-00604
Bataiya,BGD,BGD-00605
Batajore,BGD,BGD-00606
Batakashi (purba Silpur),BGD,BGD-00607
Batamara,BGD,BGD-00608
Batara,BGD,BGD-00609
Batiaghata,BGD,BGD-00610
Batikamari,BGD,BGD-00611
Batisha,BGD,BGD-00612
Batnatali,BGD,BGD-00613
Battajore,BGD,BGD-00614
Battali,BGD,BGD-00615
Bauisena,BGD,BGD-00616
Baulai,BGD,BGD-00617
Baultali-1,BGD,BGD-00618
Baultali-2,BGD,BGD-00619
Bauphal,BGD,BGD-00620
Baura,BGD,BGD-00621
Bauria,BGD,BGD-00622
Bausa,BGD,BGD-00623
Bausha,BGD,BGD-00624
Baushi,BGD,BGD-00625
Bausia,BGD,BGD-00626
Bayaragadi,BGD,BGD-00627
Bayek,BGD,BGD-00628
Bayratala Dakshin,BGD,BGD-00629
Bayratala Uttar,BGD,BGD-00630
Bazalia,BGD,BGD-00631
Bazra-1,BGD,BGD-00632
Bazra-2,BGD,BGD-00633
Beani Bazar,BGD,BGD-00634
Beani Bazar Paurashava,BGD,BGD-00635
Begampur,BGD,BGD-00636
Begumganj-1,BGD,BGD-00637
Begumganj-2,BGD,BGD-00638
Begunbari,BGD,BGD-00639
Beheli,BGD,BGD-00640
Beimar,BGD,BGD-00641
Bejgaon,BGD,BGD-00642
Bejoybagh,BGD,BGD-00643
Bekra,BGD,BGD-00644
Belabo,BGD,BGD-00645
Belai Chhari,BGD,BGD-00646
Belaichandi,BGD,BGD-00647
Belchhari,BGD,BGD-00648
Belgachha-1,BGD,BGD-00649
Belgachha-2,BGD,BGD-00650
Belgachhi,BGD,BGD-00651
Belghar,BGD,BGD-00652
Belghar Uttar,BGD,BGD-00653
Belka,BGD,BGD-00654
Belkuchi,BGD,BGD-00655
Belkuchi Paurashava,BGD,BGD-00656
Belpukuria,BGD,BGD-00657
Beltail,BGD,BGD-00658
Bemarta,BGD,BGD-00659
Benail,BGD,BGD-00660
Benapole,BGD,BGD-00661
Benapole Paurashava,BGD,BGD-00662
Benghari Banagram,BGD,BGD-00663
Bera Paurashava,BGD,BGD-00664
Beraid,BGD,BGD-00665
Berubari,BGD,BGD-00666
Betaga,BGD,BGD-00667
Betagair,BGD,BGD-00668
Betagi-1,BGD,BGD-00669
Betagi-2,BGD,BGD-00670
Betagi Sankipura,BGD,BGD-00671
Betbaria,BGD,BGD-00672
Betbunia,BGD,BGD-00673
Betdighi,BGD,BGD-00674
Betgari,BGD,BGD-00675
Bethuri,BGD,BGD-00676
Betila Mitara,BGD,BGD-00677
Betka,BGD,BGD-00678
Betkapa,BGD,BGD-00679
Betmari Ghughurakandi,BGD,BGD-00680
Betmore Rajpara,BGD,BGD-00681
Bhabaniganj,BGD,BGD-00682
Bhabanigonj Paurashava,BGD,BGD-00683
Bhabanipur-1,BGD,BGD-00684
Bhabanipur-2,BGD,BGD-00685
Bhabanipur-3,BGD,BGD-00686
Bhabanipur-4,BGD,BGD-00687
Bhaber Char,BGD,BGD-00688
Bhabicha,BGD,BGD-00689
Bhabkhali,BGD,BGD-00690
Bhabki,BGD,BGD-00691
Bhabrasur,BGD,BGD-00692
Bhadai,BGD,BGD-00693
Bhadeshwar-1,BGD,BGD-00694
Bhadeshwar-2,BGD,BGD-00695
Bhadra,BGD,BGD-00696
Bhadrabila,BGD,BGD-00697
Bhadraghat,BGD,BGD-00698
Bhadrasan,BGD,BGD-00699
Bhadsa,BGD,BGD-00700
Bhadur,BGD,BGD-00701
Bhaduria,BGD,BGD-00702
Bhagyakul,BGD,BGD-00703
Bhaibonchhara,BGD,BGD-00704
Bhairab Paurashava,BGD,BGD-00705
Bhaitkandi,BGD,BGD-00706
Bhakurta,BGD,BGD-00707
Bhalaguri,BGD,BGD-00708
Bhalain,BGD,BGD-00709
Bhaluka,BGD,BGD-00710
Bhaluka Paurashava,BGD,BGD-00711
Bhalukgachhi,BGD,BGD-00712
Bhandar Para,BGD,BGD-00713
Bhandara,BGD,BGD-00714
Bhandarbari,BGD,BGD-00715
Bhandaria,BGD,BGD-00716
Bhandarikandi,BGD,BGD-00717
Bhanderkote,BGD,BGD-00718
Bhanga Paurashava,BGD,BGD-00719
Bhangabari,BGD,BGD-00720
Bhangabaria-1,BGD,BGD-00721
Bhangabaria-2,BGD,BGD-00722
Bhangamon,BGD,BGD-00723
Bhangnamari,BGD,BGD-00724
Bhangni,BGD,BGD-00725
Bhangura,BGD,BGD-00726
Bhangura Paurashava,BGD,BGD-00727
Bhani,BGD,BGD-00728
Bhanor,BGD,BGD-00729
Bhaora,BGD,BGD-00730
Bhar Pasha,BGD,BGD-00731
Bhara,BGD,BGD-00732
Bhara Simla,BGD,BGD-00733
Bharabpasha,BGD,BGD-00734
Bharadoba,BGD,BGD-00735
Bharara,BGD,BGD-00736
Bhararia-1,BGD,BGD-00737
Bhararia-2,BGD,BGD-00738
Bharella,BGD,BGD-00739
Bharso,BGD,BGD-00740
Bhartkhali,BGD,BGD-00741
Bharuakhali,BGD,BGD-00742
Bhasan Char,BGD,BGD-00743
Bhasania,BGD,BGD-00744
Bhasanya Adam,BGD,BGD-00745
Bhashanchar,BGD,BGD-00746
Bhatara-1,BGD,BGD-00747
Bhatara-2,BGD,BGD-00748
Bhatera,BGD,BGD-00749
Bhatgaon,BGD,BGD-00750
Bhatgram-1,BGD,BGD-00751
Bhatgram-2,BGD,BGD-00752
Bhatgram-3,BGD,BGD-00753
Bhati Para,BGD,BGD-00754
Bhatiari,BGD,BGD-00755
Bhatikhain,BGD,BGD-00756
Bhatra-1,BGD,BGD-00757
Bhatra-2,BGD,BGD-00758
Bhatsala,BGD,BGD-00759
Bhaturia,BGD,BGD-00760
Bhawal,BGD,BGD-00761
Bhaya Lakshmipur,BGD,BGD-00762
Bhayna,BGD,BGD-00763
Bhedarganj Paurashava,BGD,BGD-00764
Bhedaria,BGD,BGD-00765
Bhelabari-1,BGD,BGD-00766
Bhelabari-2,BGD,BGD-00767
Bhelu Miah,BGD,BGD-00768
Bhelua,BGD,BGD-00769
Bhendabari,BGD,BGD-00770
Bheola Manik Char,BGD,BGD-00771
Bheramara Paurashava,BGD,BGD-00772
Bherbheri,BGD,BGD-00773
